macro_minute_index,mean_tick_count,p25_tick_count,p75_tick_count,median_tick_count,std_tick_count,sample_size_tick_count
40,658.2853745541023,435.0,796.0,570.0,346.5220969902329,841
41,613.7407847800238,407.0,735.0,535.0,316.62907074645614,841
42,610.3020214030915,399.0,750.0,530.0,338.2069936876563,841
43,599.6040428061831,409.0,731.0,540.0,286.64914497861247,841
44,604.3519619500595,392.0,725.0,526.0,313.2103541955675,841
45,725.9762187871581,496.0,863.0,652.0,338.75680194256165,841
46,652.9429250891795,452.0,794.0,586.0,304.9613973627374,841
47,639.5719381688466,440.0,761.0,575.0,299.4045119617017,841
48,631.038049940547,440.0,739.0,558.0,289.7741994134684,841
49,602.768133174792,416.0,722.0,534.0,273.53991130826694,841
50,1489.6837098692033,1127.0,1743.0,1401.0,531.5948352731407,841
51,925.4126040428062,662.0,1088.0,839.0,382.01868850196144,841
52,858.6623067776457,620.0,1009.0,795.0,341.28823542140054,841
53,836.3769322235433,605.0,969.0,755.0,347.059119967994,841
54,1307.859690844233,976.0,1560.0,1206.0,467.06386002079313,841
55,1517.2211652794292,1126.0,1778.0,1423.0,544.9968073991876,841
56,979.3174791914388,729.0,1155.0,892.0,384.36975351906193,841
57,1042.25564803805,768.0,1231.0,974.0,377.6417583656686,841
58,1218.5683709869204,916.0,1427.0,1128.0,441.3691958508586,841
59,4414.10820451843,3516.0,4994.0,4116.0,1308.700895814783,841
0,1930.3804994054697,1505.0,2206.0,1783.0,676.7970718586309,841
1,861.961950059453,528.0,932.0,701.0,634.1458210538036,841
2,566.1973840665873,338.0,620.0,453.0,442.226737300703,841
3,460.48156956004755,271.0,509.0,371.0,363.64580485151345,841
4,394.0142687277051,238.0,458.0,317.0,277.87943563448874,841
5,463.78121284185494,256.0,494.0,347.0,416.49570932329857,841
6,332.47443519619503,194.0,356.0,257.0,275.81563826213414,841
7,293.2330558858502,181.0,322.0,236.0,210.44445687595845,841
8,264.5873959571938,159.0,299.0,206.0,202.0976420846791,841
9,251.93816884661118,152.0,291.0,205.0,169.57463866132534,841
10,270.3127229488704,162.0,302.0,214.0,251.07800143027177,841
